fetchedAt,csvStamp,csvVal,rhrStamp,rhrVal,webStamp,webVal,metarStamp,metarVal,marketPrices
2026-09-07T05:53:16.020Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:53:47.967Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:54:19.509Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:54:50.593Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:55:21.975Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:55:53.348Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:56:25.052Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:56:56.732Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:57:28.658Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:58:00.089Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
